Squad,Players,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,23,14.0,6235,7539,82.7,108422,33424,2758,3059,90.2,2916,3274,89.1,455,903,50.4,21,15.2,16.4,5.8,138,494,134,17,612
Aston Villa,23,14.0,5413,6602,82.0,95593,32792,2375,2621,90.6,2459,2772,88.7,468,903,51.8,15,11.3,11.0,3.7,124,418,107,21,500
Bournemouth,24,14.0,5411,6862,78.9,94326,32062,2423,2731,88.7,2376,2733,86.9,483,1026,47.1,12,11.5,11.7,0.5,123,507,122,36,554
Brentford,21,14.0,4134,5529,74.8,76373,29903,1738,2040,85.2,1803,2172,83.0,480,1029,46.6,9,12.3,9.9,-3.3,101,302,83,25,362
Brighton,25,14.0,5499,6759,81.4,96143,32868,2523,2795,90.3,2366,2693,87.9,483,912,53.0,14,14.6,11.0,-0.6,126,426,91,29,484
Burnley,23,14.0,4310,5705,75.5,74778,27309,2091,2354,88.8,1690,2024,83.5,396,947,41.8,11,7.4,7.6,3.6,81,318,78,25,344
Chelsea,25,14.0,6692,7932,84.4,115029,35978,3100,3378,91.8,3007,3322,90.5,479,945,50.7,19,19.2,17.0,-0.2,149,503,114,19,568
Crystal Palace,22,14.0,4232,5658,74.8,77287,29840,1801,2103,85.6,1910,2248,85.0,444,1009,44.0,9,14.5,13.4,-5.5,105,313,89,23,424
Everton,19,14.0,4580,5984,76.5,84687,30721,1940,2221,87.3,2089,2471,84.5,478,995,48.0,12,13.3,12.7,-1.3,111,391,108,28,470
Fulham,23,14.0,5513,6835,80.7,97515,33330,2404,2682,89.6,2479,2814,88.1,521,987,52.8,10,10.5,11.0,-0.5,121,400,114,28,498
Leeds United,23,14.0,4981,6303,79.0,89219,31310,2135,2407,88.7,2224,2548,87.3,475,979,48.5,6,11.1,8.9,-5.1,114,374,78,33,416
Liverpool,22,14.0,6802,8164,83.3,116519,38936,3184,3506,90.8,2966,3338,88.9,524,986,53.1,14,17.2,14.0,-3.2,167,652,153,33,749
Manchester City,23,14.0,6997,8129,86.1,109707,33819,3718,4011,92.7,2685,2987,89.9,402,733,54.8,25,23.1,18.9,1.9,153,516,132,23,554
Manchester Utd,21,14.0,5550,7034,78.9,96963,34760,2587,2940,88.0,2283,2700,84.6,530,1020,52.0,15,14.8,14.6,0.2,160,463,115,37,580
Newcastle Utd,23,14.0,5347,6733,79.4,93966,34144,2415,2731,88.4,2332,2701,86.3,481,991,48.5,12,14.0,12.0,-2.0,133,458,119,36,623
Nott'ham Forest,25,14.0,5510,6885,80.0,96049,34435,2579,2858,90.2,2370,2728,86.9,471,1015,46.4,7,12.3,11.1,-5.3,129,509,132,41,603
Sunderland,25,14.0,4329,5700,75.9,78323,28568,1880,2143,87.7,1893,2233,84.8,445,994,44.8,12,7.9,7.1,4.1,95,361,87,23,409
Tottenham,20,14.0,5355,6705,79.9,97170,32739,2195,2448,89.7,2608,2950,88.4,468,1013,46.2,19,9.6,9.0,9.4,94,426,94,38,496
West Ham,26,14.0,4491,5818,77.2,77477,28001,2143,2400,89.3,1775,2085,85.1,435,975,44.6,8,8.2,7.8,-0.2,102,334,84,24,413
Wolves,25,14.0,4979,6335,78.6,93604,32796,2034,2346,86.7,2310,2666,86.6,536,1051,51.0,4,8.2,8.8,-4.2,89,401,107,53,413
